update,leading_edge_index,leading_edge_value,count_under,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_over
41,42,13,2,416,52,0,0,0,0,38,4,0,0,0,0,0,0
42,42,13,1,415,53,0,0,0,0,39,4,0,0,0,0,0,0
43,43,13,2,412,54,0,0,0,0,41,3,0,0,0,0,0,0
44,44,13,1,412,54,0,0,0,1,40,4,0,0,0,0,0,0
45,45,13,3,412,51,0,0,0,2,39,5,0,0,0,0,0,0
46,46,13,1,407,57,0,0,0,0,39,8,0,0,0,0,0,0
47,47,13,2,400,62,0,0,0,1,37,10,0,0,0,0,0,0
48,48,13,5,394,63,1,0,0,1,38,10,0,0,0,0,0,0
49,49,13,3,389,68,2,0,0,1,36,13,0,0,0,0,0,0
50,50,13,1,389,70,1,0,0,0,37,14,0,0,0,0,0,0
51,51,13,4,379,76,1,0,0,0,36,16,0,0,0,0,0,0
52,52,13,4,380,75,0,0,0,1,35,17,0,0,0,0,0,0
53,53,13,2,383,73,0,0,0,0,37,17,0,0,0,0,0,0
54,54,13,3,379,75,0,0,0,0,40,15,0,0,0,0,0,0
55,54,13,4,372,81,0,0,0,0,40,15,0,0,0,0,0,0
56,55,13,6,370,80,0,0,0,0,38,18,0,0,0,0,0,0
57,55,14,8,359,89,0,0,0,0,37,18,1,0,0,0,0,0
58,56,14,2,366,87,0,0,0,0,39,16,2,0,0,0,0,0
59,57,14,2,363,89,0,0,0,0,38,18,2,0,0,0,0,0
60,58,14,4,361,87,1,0,0,0,40,16,3,0,0,0,0,0
61,59,14,3,353,95,2,0,0,0,39,17,3,0,0,0,0,0
62,60,14,3,357,88,3,0,0,0,39,17,5,0,0,0,0,0
63,61,14,2,362,84,2,0,0,0,42,13,7,0,0,0,0,0
64,62,14,3,360,81,5,0,0,0,43,13,7,0,0,0,0,0
65,63,14,1,356,85,6,0,0,0,43,13,8,0,0,0,0,0
66,64,14,1,360,82,4,0,0,0,42,15,8,0,0,0,0,0
67,65,14,2,357,84,3,0,0,0,43,15,8,0,0,0,0,0
68,66,14,2,360,81,2,0,0,0,43,15,9,0,0,0,0,0
69,66,14,1,360,79,5,0,0,1,42,14,10,0,0,0,0,0
70,67,14,1,372,68,3,0,0,0,42,16,10,0,0,0,0,0
71,68,14,4,367,69,3,0,0,0,42,16,10,1,0,0,0,0
72,69,14,4,370,66,2,0,0,0,42,15,13,0,0,0,0,0
73,70,14,5,365,69,2,0,0,0,43,16,11,1,0,0,0,0
74,71,14,2,371,64,3,0,0,0,41,18,13,0,0,0,0,0
75,72,14,4,373,60,2,0,0,1,41,19,12,0,0,0,0,0
76,73,14,5,371,59,3,0,0,0,40,22,12,0,0,0,0,0
77,74,14,5,366,65,1,0,0,0,40,24,11,0,0,0,0,0
78,75,14,7,360,68,2,0,0,0,37,26,12,0,0,0,0,0
79,76,14,3,366,65,1,0,0,1,37,25,14,0,0,0,0,0
80,77,14,2,362,68,2,0,0,0,38,27,13,0,0,0,0,0
81,78,14,2,360,69,2,0,0,0,36,29,14,0,0,0,0,0
82,79,14,0,360,71,1,0,0,1,34,31,14,0,0,0,0,0
83,80,14,0,361,68,2,0,0,0,34,31,16,0,0,0,0,0
84,81,15,1,358,68,3,0,0,0,30,36,15,1,0,0,0,0
85,82,15,4,356,64,5,0,0,0,26,40,14,3,0,0,0,0
86,82,15,3,352,71,3,0,0,0,24,41,15,3,0,0,0,0
87,83,15,3,358,64,3,0,0,0,20,46,15,3,0,0,0,0
88,84,15,4,347,73,3,0,0,0,21,45,16,3,0,0,0,0
89,85,15,3,354,66,3,0,0,0,20,47,16,3,0,0,0,0
90,86,15,3,355,64,4,0,0,0,25,42,16,3,0,0,0,0
91,87,15,3,357,60,5,0,0,0,22,44,18,3,0,0,0,0
92,88,15,2,355,63,4,0,0,0,22,44,18,4,0,0,0,0
93,89,15,3,355,58,7,0,0,0,23,43,18,5,0,0,0,0
94,89,15,2,353,58,9,0,0,0,20,45,18,7,0,0,0,0
95,90,15,3,356,50,12,0,0,0,20,47,15,9,0,0,0,0
96,91,15,4,345,57,14,0,0,1,17,49,16,9,0,0,0,0
97,92,15,3,346,55,15,0,0,0,20,49,17,7,0,0,0,0
98,92,15,2,354,49,14,0,0,0,23,46,17,7,0,0,0,0
99,92,15,3,351,53,12,0,0,0,23,46,17,7,0,0,0,0
100,92,15,0,357,53,9,0,0,0,25,42,20,6,0,0,0,0
101,93,15,2,351,56,9,0,0,0,26,39,21,8,0,0,0,0
102,94,15,2,348,58,9,0,0,0,26,41,21,7,0,0,0,0
103,95,15,4,343,59,10,0,0,0,28,41,18,9,0,0,0,0
104,96,15,3,350,54,8,0,0,0,27,43,16,11,0,0,0,0
105,97,15,1,348,56,9,0,0,1,26,44,16,11,0,0,0,0
106,98,15,0,345,58,10,0,0,0,27,47,13,12,0,0,0,0
107,99,15,0,351,53,8,0,0,0,28,49,11,12,0,0,0,0
108,100,15,0,349,55,8,0,0,0,25,52,11,11,1,0,0,0
109,101,15,5,341,57,7,0,0,0,24,54,11,12,1,0,0,0
110,102,15,5,342,58,4,0,0,1,26,52,11,13,0,0,0,0
111,103,15,3,345,57,3,0,0,0,30,51,8,15,0,0,0,0
112,104,15,2,350,51,4,0,0,0,27,54,8,16,0,0,0,0
113,105,15,2,358,42,4,0,0,0,27,53,9,17,0,0,0,0
114,105,15,1,363,39,3,0,0,0,30,48,12,16,0,0,0,0
115,106,15,3,357,40,5,0,0,1,28,53,9,16,0,0,0,0
116,107,15,4,360,37,3,0,0,1,28,50,12,17,0,0,0,0
117,106,15,3,359,41,2,0,0,0,29,51,10,16,1,0,0,0
118,107,15,6,358,36,4,0,0,0,27,52,14,13,2,0,0,0
119,107,15,1,365,33,5,0,0,0,27,54,11,15,1,0,0,0
120,108,15,5,361,32,5,0,0,0,28,51,15,14,1,0,0,0
121,109,15,4,365,28,5,0,0,1,31,48,14,16,0,0,0,0
122,110,15,5,363,28,5,0,0,1,33,45,16,16,0,0,0,0
123,111,15,8,362,25,5,0,0,0,30,49,16,17,0,0,0,0
124,111,15,4,359,32,5,0,0,0,28,53,13,18,0,0,0,0
125,112,15,0,362,30,7,0,0,0,30,47,17,19,0,0,0,0
126,113,15,4,359,29,6,0,0,0,31,45,18,20,0,0,0,0
127,114,15,1,359,32,5,0,0,1,32,40,20,22,0,0,0,0
128,115,15,1,358,34,3,0,0,0,37,34,23,22,0,0,0,0
129,116,15,2,352,37,4,0,0,0,39,33,22,23,0,0,0,0
130,117,15,4,353,34,3,0,0,1,40,34,20,23,0,0,0,0
131,118,15,5,349,35,4,0,0,0,44,33,18,24,0,0,0,0
132,119,15,5,342,38,7,0,0,0,45,32,19,22,2,0,0,0
133,120,15,1,349,36,5,0,0,0,44,32,20,23,2,0,0,0
134,120,15,2,347,38,4,0,0,0,40,38,19,21,3,0,0,0
135,121,15,1,340,46,3,0,0,0,39,38,20,22,3,0,0,0
136,121,15,2,348,38,2,0,0,0,39,37,21,21,4,0,0,0
137,122,15,1,345,39,4,0,0,0,41,36,19,23,4,0,0,0
138,122,15,1,340,44,4,0,0,1,39,35,19,24,5,0,0,0
139,122,15,2,340,43,4,0,0,1,37,39,16,24,6,0,0,0
140,123,15,1,339,44,4,0,0,0,37,38,18,27,4,0,0,0
141,124,15,1,347,35,4,0,0,0,38,37,19,27,4,0,0,0
142,125,15,3,349,30,4,0,0,0,38,35,20,29,4,0,0,0
143,124,15,3,347,34,3,0,0,0,35,39,19,30,2,0,0,0
144,125,15,1,341,40,4,0,0,0,34,40,21,29,2,0,0,0
145,126,15,3,339,40,3,0,0,0,30,43,22,29,3,0,0,0
146,127,15,1,334,46,3,0,0,0,28,47,21,31,1,0,0,0
147,128,15,0,336,47,1,0,0,0,26,51,20,30,1,0,0,0
148,129,15,1,333,47,2,0,0,0,29,46,23,30,1,0,0,0
149,130,15,3,329,45,4,0,0,0,31,44,23,32,1,0,0,0
150,131,15,3,328,43,6,0,0,1,31,43,24,32,1,0,0,0
151,131,15,3,325,47,5,0,0,0,30,51,20,30,1,0,0,0
152,132,15,1,325,50,3,0,0,0,31,50,19,32,1,0,0,0
153,133,15,0,331,44,3,0,0,0,33,48,16,36,1,0,0,0
154,134,15,2,324,49,2,0,0,0,34,48,17,35,1,0,0,0
155,135,15,2,330,42,2,0,0,0,38,47,16,33,2,0,0,0
156,136,15,3,321,49,2,0,0,0,40,45,18,33,1,0,0,0
157,136,15,5,320,46,4,0,0,1,39,46,18,32,1,0,0,0
158,137,15,2,324,44,4,0,0,0,39,51,18,28,2,0,0,0
159,138,15,5,321,43,4,0,0,0,42,50,18,26,3,0,0,0
160,139,15,1,319,48,4,0,0,0,43,49,19,27,2,0,0,0
161,140,15,2,315,52,2,0,0,0,44,50,18,26,3,0,0,0
162,141,15,3,323,44,0,0,0,0,43,50,18,30,1,0,0,0
163,142,15,1,321,47,0,0,0,1,48,45,19,30,0,0,0,0
164,142,15,4,318,47,0,0,0,1,47,42,24,29,0,0,0,0
165,143,15,1,325,42,0,0,0,1,50,41,24,27,1,0,0,0
166,144,15,3,329,34,1,0,0,1,53,39,25,27,0,0,0,0
167,145,15,4,328,33,1,0,0,0,52,38,30,26,0,0,0,0
168,145,15,5,323,37,1,0,0,0,53,39,25,29,0,0,0,0
169,146,15,3,325,35,2,0,0,0,53,42,22,30,0,0,0,0
170,147,15,1,327,36,0,0,0,0,53,43,20,32,0,0,0,0
171,148,15,3,327,31,2,0,0,0,53,45,17,34,0,0,0,0
172,148,15,5,324,33,1,0,0,0,53,45,15,36,0,0,0,0
173,149,15,1,328,34,0,0,0,0,54,46,14,34,1,0,0,0
174,150,15,6,316,39,0,0,0,0,55,51,9,35,1,0,0,0
175,150,15,2,317,42,0,0,0,3,54,47,10,35,2,0,0,0
176,151,15,5,312,43,0,0,0,1,61,41,12,34,3,0,0,0
177,152,15,2,311,46,0,0,0,0,59,39,17,34,4,0,0,0
178,152,15,1,309,49,0,0,0,1,59,40,17,31,5,0,0,0
179,153,15,3,308,47,0,0,0,1,64,36,15,34,4,0,0,0
180,154,15,2,313,42,0,0,0,1,65,36,15,35,3,0,0,0
181,155,15,3,305,48,0,0,0,1,64,40,14,34,3,0,0,0
182,156,15,5,302,48,0,0,0,0,66,40,14,34,3,0,0,0
183,156,15,3,302,50,0,0,0,0,67,39,17,32,2,0,0,0
184,157,15,4,299,50,1,0,0,1,69,35,20,30,3,0,0,0
185,158,15,2,299,50,2,0,0,0,69,38,20,29,3,0,0,0
186,159,15,1,299,49,3,0,0,0,73,37,17,30,3,0,0,0
187,160,15,2,296,51,2,0,0,2,73,36,19,27,4,0,0,0
188,160,15,3,302,43,3,0,0,0,76,36,21,24,4,0,0,0
189,161,15,0,301,42,7,0,0,0,77,36,20,25,4,0,0,0
190,162,15,2,297,42,8,0,0,0,76,37,20,26,4,0,0,0
191,162,15,4,293,42,10,0,0,0,80,38,18,23,4,0,0,0
192,163,15,2,293,41,12,0,0,2,79,36,19,25,2,1,0,0
193,163,15,3,287,48,10,0,0,0,83,35,20,22,2,2,0,0
194,164,15,3,292,44,8,0,0,1,83,33,22,23,2,1,0,0
195,164,15,3,290,47,7,0,0,0,82,34,24,24,0,1,0,0
196,165,15,4,290,41,11,0,0,1,82,33,23,25,1,1,0,0
197,165,15,4,292,42,7,1,0,1,81,38,21,24,1,0,0,0
198,166,15,3,285,51,5,1,0,0,88,36,18,25,0,0,0,0
199,166,15,2,285,51,5,2,0,1,84,40,16,26,0,0,0,0
200,167,15,1,295,44,4,0,0,1,85,40,15,27,0,0,0,0
201,168,15,2,294,44,3,0,0,0,88,38,17,26,0,0,0,0
202,169,15,6,288,45,4,0,0,3,85,40,15,26,0,0,0,0
203,169,15,7,284,46,5,0,0,0,87,41,16,26,0,0,0,0
204,170,15,3,290,44,4,0,0,0,85,43,14,29,0,0,0,0
205,171,15,4,284,47,5,0,0,0,90,39,14,29,0,0,0,0
206,172,15,4,289,39,7,0,0,0,90,37,17,29,0,0,0,0
207,173,15,2,290,40,6,0,0,0,89,42,11,32,0,0,0,0
208,174,15,2,293,35,7,0,0,0,91,41,9,34,0,0,0,0
209,175,15,4,294,31,8,0,0,1,87,42,10,35,0,0,0,0
210,175,15,4,298,25,9,0,0,0,90,36,14,36,0,0,0,0
211,176,15,5,292,29,9,0,0,1,88,41,12,35,0,0,0,0
212,177,15,5,291,29,9,0,0,0,89,42,14,32,1,0,0,0
213,178,15,0,302,22,9,0,0,1,91,40,16,31,0,0,0,0
214,179,15,3,294,27,8,0,0,3,88,45,14,30,0,0,0,0
215,180,15,2,294,24,11,0,0,3,87,44,17,30,0,0,0,0
216,180,15,0,294,27,9,1,0,0,96,39,18,28,0,0,0,0
217,181,15,2,289,28,10,1,0,1,95,38,18,30,0,0,0,0
218,182,15,3,281,31,13,1,0,1,91,42,17,32,0,0,0,0
219,183,15,2,280,35,10,1,0,1,89,43,20,31,0,0,0,0
220,184,15,3,283,31,10,0,0,0,89,46,19,31,0,0,0,0
221,185,15,1,286,29,10,0,0,0,90,44,21,30,1,0,0,0
222,186,15,3,277,36,9,0,0,1,87,47,20,30,2,0,0,0
223,187,15,1,272,38,13,0,0,0,93,40,22,32,1,0,0,0
224,188,15,2,270,39,12,0,0,0,95,38,20,34,2,0,0,0
225,189,15,5,269,38,11,0,0,0,94,38,18,36,3,0,0,0
226,189,15,1,273,40,8,0,0,0,98,37,13,39,3,0,0,0
227,190,15,0,278,37,6,0,0,1,97,37,10,40,5,1,0,0
228,191,15,1,276,38,5,0,0,1,99,34,9,45,3,1,0,0
229,191,15,1,264,48,7,0,0,1,104,31,7,45,3,1,0,0
230,191,15,0,267,47,6,0,0,0,106,32,10,41,3,0,0,0
231,192,15,1,265,47,6,0,0,1,102,36,11,41,2,0,0,0
232,193,15,1,266,45,6,0,0,1,100,39,10,42,2,0,0,0
233,194,15,0,264,46,7,0,0,3,94,41,16,40,1,0,0,0
234,195,15,0,258,51,7,0,0,2,95,42,18,38,1,0,0,0
235,195,15,1,257,53,5,0,0,0,91,48,20,36,1,0,0,0
236,195,15,1,253,56,6,0,0,0,92,48,19,35,2,0,0,0
237,196,15,2,253,55,6,0,0,1,94,43,24,32,2,0,0,0
238,197,15,2,250,55,7,0,0,0,99,42,21,35,1,0,0,0
239,198,15,2,247,55,9,0,0,1,102,37,24,35,0,0,0,0
240,199,15,2,247,54,9,0,0,0,106,37,21,35,1,0,0,0
241,200,15,2,248,52,9,0,0,0,104,40,20,37,0,0,0,0
242,201,15,3,250,48,9,0,0,0,104,39,23,36,0,0,0,0
243,202,15,1,247,51,10,0,0,2,103,38,24,36,0,0,0,0
244,203,15,2,247,51,8,0,0,0,111,31,26,35,1,0,0,0
245,204,15,1,250,51,5,0,0,2,108,32,26,37,0,0,0,0
246,205,15,2,248,53,4,0,0,1,111,30,25,38,0,0,0,0
247,206,15,2,246,54,4,0,0,0,106,34,26,40,0,0,0,0
248,205,15,3,244,56,3,0,0,1,103,39,23,40,0,0,0,0
249,206,15,3,245,54,3,0,0,1,103,39,23,41,0,0,0,0
250,207,15,2,251,49,2,0,0,1,104,36,27,40,0,0,0,0
251,208,15,3,248,51,1,0,0,0,105,38,26,40,0,0,0,0
252,209,15,2,247,52,1,0,0,0,102,41,29,38,0,0,0,0
253,210,15,2,244,53,2,0,0,1,102,39,30,39,0,0,0,0
254,210,15,3,239,57,2,0,0,0,96,44,29,41,1,0,0,0
255,211,15,1,237,60,2,0,0,0,101,42,25,44,0,0,0,0
256,211,15,1,243,55,1,0,0,3,95,45,23,46,0,0,0,0
257,212,15,1,240,57,1,0,0,0,96,47,22,48,0,0,0,0
258,212,15,2,241,54,2,0,0,1,97,45,24,46,0,0,0,0
259,213,15,0,246,50,2,0,0,0,96,47,24,47,0,0,0,0
260,214,15,1,242,51,3,0,0,1,100,46,20,48,0,0,0,0
261,215,15,1,240,52,3,0,0,1,100,49,18,46,2,0,0,0
262,215,15,3,240,49,4,0,0,1,107,44,17,44,3,0,0,0
263,216,15,2,242,47,4,0,0,1,112,41,18,41,4,0,0,0
264,217,15,2,242,47,3,0,0,0,115,41,17,39,6,0,0,0
265,218,15,3,234,53,3,0,0,0,114,46,16,36,7,0,0,0
266,218,15,0,232,58,3,0,0,0,117,45,14,35,8,0,0,0
267,219,15,2,233,55,2,0,0,0,118,45,14,34,9,0,0,0
268,220,15,2,236,50,3,0,0,3,117,45,14,33,9,0,0,0
269,221,15,1,239,46,4,0,0,2,117,47,13,35,8,0,0,0
270,221,15,2,235,49,4,0,0,0,116,53,11,34,8,0,0,0
271,222,15,1,234,51,3,0,0,1,113,58,9,34,8,0,0,0
272,222,15,0,237,50,2,0,0,2,112,57,9,35,8,0,0,0
273,223,15,1,230,56,1,0,0,1,114,55,7,43,4,0,0,0
274,224,15,3,230,54,0,0,0,1,117,53,6,45,3,0,0,0
275,224,15,1,232,54,0,0,0,0,119,55,5,41,5,0,0,0
276,225,15,3,233,49,1,0,0,0,121,57,4,39,5,0,0,0
277,226,15,3,235,46,1,0,0,1,117,62,4,38,5,0,0,0
278,227,15,1,232,51,0,0,0,1,117,61,6,38,5,0,0,0
279,228,15,1,223,59,0,0,0,2,116,60,6,38,7,0,0,0
280,229,15,2,219,62,0,0,0,0,118,61,5,40,5,0,0,0
281,230,15,3,219,59,0,0,0,1,118,60,5,42,5,0,0,0
282,231,15,1,215,64,0,0,0,0,124,55,3,44,6,0,0,0
283,232,15,1,211,67,0,0,0,0,125,54,3,43,8,0,0,0
284,233,15,1,210,65,2,0,0,0,124,55,2,47,6,0,0,0
285,234,15,2,208,66,1,0,0,0,129,50,3,47,6,0,0,0
286,235,15,1,201,73,1,0,0,0,131,50,3,47,5,0,0,0
287,236,15,3,190,82,0,0,0,0,134,46,5,46,6,0,0,0
288,236,15,0,199,76,0,0,0,1,130,48,3,50,5,0,0,0
289,236,15,3,201,71,0,0,0,2,128,52,3,47,5,0,0,0
290,237,15,1,203,70,0,0,0,0,132,53,4,43,6,0,0,0
291,238,15,1,203,69,0,0,0,0,133,47,5,49,5,0,0,0
292,238,15,1,210,62,0,0,0,0,133,49,5,48,4,0,0,0
293,238,15,3,199,71,0,0,0,0,139,42,8,47,3,0,0,0
294,238,15,2,203,67,1,0,0,0,142,40,8,47,2,0,0,0
295,239,15,1,202,69,0,0,0,2,142,39,8,47,2,0,0,0
296,240,15,1,201,69,0,0,0,3,142,34,9,53,0,0,0,0
297,240,15,1,209,60,1,0,0,0,154,24,12,51,0,0,0,0
298,241,15,2,207,59,1,1,0,1,156,22,12,49,2,0,0,0
299,242,15,3,206,59,1,0,0,2,159,25,4,49,4,0,0,0
300,243,15,1,204,61,2,0,0,2,158,28,6,45,5,0,0,0
301,243,15,1,199,65,3,0,0,2,159,29,8,40,6,0,0,0
302,244,15,0,199,67,1,0,0,3,161,30,8,40,3,0,0,0
303,245,15,1,194,69,2,0,0,0,162,31,8,42,3,0,0,0
304,246,15,1,190,72,2,0,0,2,159,33,10,41,2,0,0,0
305,247,15,1,188,72,3,0,0,2,161,35,8,41,1,0,0,0
306,248,15,2,182,76,3,0,0,1,162,36,7,40,3,0,0,0
307,249,15,1,187,69,5,0,0,0,168,32,6,41,3,0,0,0
308,250,15,1,186,70,4,0,0,2,169,27,10,41,2,0,0,0
309,251,15,2,186,68,4,0,0,1,170,27,10,42,2,0,0,0
310,251,15,2,183,71,4,0,0,4,168,28,9,41,2,0,0,0
311,252,15,0,186,68,5,0,0,2,165,33,10,39,4,0,0,0
312,253,15,0,185,69,4,0,0,2,164,34,8,42,4,0,0,0
313,254,15,0,183,71,3,0,0,2,166,32,8,43,4,0,0,0
314,254,15,1,187,64,5,0,0,1,169,32,8,43,2,0,0,0
315,255,15,0,185,65,6,0,0,0,167,36,8,42,3,0,0,0
316,255,15,0,186,62,8,0,0,0,175,30,4,43,4,0,0,0
317,256,15,1,184,61,9,0,0,1,173,30,5,43,5,0,0,0
318,256,15,2,190,57,6,0,0,0,173,34,3,41,6,0,0,0
319,257,15,1,195,50,8,0,0,2,169,37,3,40,7,0,0,0
320,258,15,1,200,47,6,0,0,1,168,40,5,38,6,0,0,0
321,258,15,3,197,48,5,0,0,6,163,40,6,40,4,0,0,0
322,259,15,3,194,53,3,0,0,1,165,43,4,45,1,0,0,0
323,260,15,2,191,55,3,0,0,0,166,44,4,46,1,0,0,0
324,260,15,2,192,53,4,0,0,2,165,43,3,47,1,0,0,0
325,261,15,1,193,52,4,0,0,2,162,46,8,43,1,0,0,0
326,262,15,0,192,54,3,0,0,1,166,43,7,45,1,0,0,0
327,262,15,3,189,54,3,0,0,1,170,40,6,46,0,0,0,0
328,263,15,2,190,53,3,0,0,1,167,42,9,44,1,0,0,0
329,264,15,0,188,55,4,0,0,2,167,41,9,46,0,0,0,0
330,264,15,2,183,61,1,0,0,2,168,41,9,43,2,0,0,0
331,265,15,1,187,56,2,0,0,2,171,38,11,42,2,0,0,0
332,266,15,2,183,59,1,0,0,4,167,38,15,42,1,0,0,0
333,266,15,1,187,57,0,0,0,1,168,40,14,43,1,0,0,0
334,267,15,1,188,54,1,0,0,1,167,42,15,42,1,0,0,0
335,268,15,0,186,56,1,0,0,0,166,45,12,45,1,0,0,0
336,269,15,1,185,56,0,0,0,0,172,40,13,44,1,0,0,0
337,270,15,0,185,56,0,0,0,2,170,39,16,41,3,0,0,0
338,271,15,1,182,57,0,0,0,3,165,43,12,48,1,0,0,0
339,272,15,2,178,58,1,0,0,0,167,44,16,44,2,0,0,0
340,272,15,1,179,58,1,0,0,3,171,38,13,46,2,0,0,0
341,273,15,1,179,57,1,0,0,2,172,35,16,47,2,0,0,0
342,274,15,1,176,59,1,0,0,4,174,29,21,45,2,0,0,0
343,275,15,4,171,61,0,0,0,0,178,32,16,46,4,0,0,0
344,276,15,5,169,61,0,0,0,0,181,31,13,47,5,0,0,0
345,277,15,3,169,62,0,0,0,2,179,30,13,50,4,0,0,0
346,278,15,3,161,69,0,0,0,1,180,30,13,52,2,1,0,0
347,279,15,1,165,66,0,0,0,1,183,30,12,51,2,1,0,0
348,279,15,2,167,63,0,0,0,3,177,34,15,49,1,1,0,0
349,280,15,0,176,54,1,0,0,4,171,39,16,49,2,0,0,0
350,281,15,3,174,50,3,0,0,0,173,40,19,47,3,0,0,0
351,281,15,0,178,48,4,0,0,1,172,43,16,46,4,0,0,0
352,282,15,2,174,49,4,0,0,1,175,41,15,47,4,0,0,0
353,283,15,1,176,48,3,0,0,2,170,44,14,48,6,0,0,0
354,284,15,1,173,48,5,0,0,3,170,42,16,49,5,0,0,0
355,285,15,3,174,44,5,0,0,1,171,42,13,56,3,0,0,0
356,286,15,1,179,41,4,0,0,1,171,40,15,57,3,0,0,0
357,286,15,1,174,47,3,0,0,3,172,35,17,56,4,0,0,0
358,286,15,1,173,49,2,0,0,1,178,32,17,56,3,0,0,0
359,287,15,2,171,47,4,0,0,1,176,33,21,53,4,0,0,0
360,288,15,3,166,50,4,0,0,0,178,34,20,55,2,0,0,0
361,289,15,3,162,54,3,0,0,0,182,30,21,55,2,0,0,0
362,290,15,1,162,54,4,0,0,3,175,33,19,60,1,0,0,0
363,291,15,1,165,52,2,0,0,3,178,31,16,63,1,0,0,0
364,292,15,0,170,47,2,0,0,1,176,30,21,63,2,0,0,0
365,291,15,0,168,49,3,0,0,2,176,30,23,61,0,0,0,0
366,292,15,2,168,47,2,0,0,2,175,28,29,59,0,0,0,0
367,293,15,1,166,50,2,0,0,0,181,26,27,59,0,0,0,0
368,294,15,2,168,46,1,0,0,0,187,22,30,55,1,0,0,0
369,295,15,3,164,49,0,0,0,0,184,25,27,59,1,0,0,0
370,295,15,1,168,47,0,0,0,1,182,29,28,54,2,0,0,0
371,296,15,1,170,43,1,0,0,1,182,29,25,57,3,0,0,0
372,296,15,0,177,38,0,0,0,1,183,28,27,54,4,0,0,0
373,296,15,2,175,38,0,0,0,0,185,29,26,54,3,0,0,0
374,297,15,0,174,40,0,0,0,1,179,31,34,48,5,0,0,0
375,298,15,2,171,40,0,0,0,1,178,32,35,46,7,0,0,0
376,299,15,0,174,38,0,0,0,1,179,33,36,45,6,0,0,0
377,300,15,2,167,42,0,0,0,2,174,35,35,51,4,0,0,0
378,301,15,0,166,42,2,0,0,3,164,40,40,51,4,0,0,0
379,302,15,0,171,36,2,0,0,0,166,41,38,55,3,0,0,0
380,303,15,0,173,34,1,0,0,1,164,42,40,54,3,0,0,0
381,303,15,0,172,34,2,0,0,2,167,40,36,56,3,0,0,0
382,304,15,2,170,33,2,0,0,1,170,38,33,60,3,0,0,0
383,304,15,1,172,32,2,0,0,0,170,37,35,61,2,0,0,0
384,305,15,0,169,35,2,0,0,1,168,37,43,55,2,0,0,0
